"label_code","rep","baggie","removal_weight"
"A+",1,1,5.5
"A+",1,2,6.1
"A+",1,3,6.18
"A+",1,4,5.95
"A+",1,5,5.55
"A+",1,6,5.65
"A+",2,1,5.92
"A+",2,2,5.84
"A+",2,3,5.57
"A+",2,4,5.54
"A+",2,5,6.02
"A+",2,6,5.46
"A+",3,1,6.24
"A+",3,2,5.61
"A+",3,3,5.85
"A+",3,4,5.56
"A+",3,5,5.81
"A+",3,6,5.77
"AA+",1,1,6.19
"AA+",1,2,6.09
"AA+",1,3,5.97
"AA+",1,4,5.91
"AA+",1,5,6.19
"AA+",1,6,5.57
"AA+",2,1,6.14
"AA+",2,2,6.13
"AA+",2,3,5.98
"AA+",2,4,5.91
"AA+",2,5,5.98
"AA+",2,6,5.83
"AA+",3,1,6.27
"AA+",3,2,6.19
"AA+",3,3,6.16
"AA+",3,4,6.03
"AA+",3,5,5.84
"AA+",3,6,6.13
"BB+",1,1,5.96
"BB+",1,2,5.99
"BB+",1,3,5.88
"BB+",1,4,5.67
"BB+",1,5,5.18
"BB+",1,6,5.37
"BB+",2,1,5.94
"BB+",2,2,6.01
"BB+",2,3,5.83
"BB+",2,4,5.62
"BB+",2,5,5.54
"BB+",2,6,4.69
"BB+",2,6,5.8
"BB+",3,1,6.1
"BB+",3,2,5.93
"BB+",3,3,5.9
"BB+",3,4,5.59
"BB+",3,5,5.46
"CC+",1,1,4.85
"CC+",1,2,3.91
"CC+",1,3,3.4
"CC+",1,4,3.66
"CC+",1,5,2.79
"CC+",1,6,2.55
"CC+",2,1,3.65
"CC+",2,2,3.3
"CC+",2,3,3.2
"CC+",2,4,2.64
"CC+",2,5,3.25
"CC+",2,6,2.82
"CC+",3,1,4.73
"CC+",3,2,3.86
"CC+",3,3,3.55
"CC+",3,4,2.8
"CC+",3,5,2.83
"CC+",3,6,3.18
"DD+",1,1,6.06
"DD+",1,2,5.96
"DD+",1,3,5.73
"DD+",1,4,5.72
"DD+",1,5,5.52
"DD+",1,6,5.68
"DD+",2,1,6
"DD+",2,2,6.26
"DD+",2,3,5.89
"DD+",2,4,5.88
"DD+",2,5,5.68
"DD+",2,6,5.42
"DD+",3,1,5.97
"DD+",3,2,5.8
"DD+",3,3,5.64
"DD+",3,4,5.64
"DD+",3,5,5.71
"DD+",3,6,5.63
"G+",1,1,5.63
"G+",1,2,4.84
"G+",1,3,5
"G+",1,4,3.2
"G+",1,5,3.7
"G+",1,6,NA
"G+",2,1,5.4
"G+",2,2,4.76
"G+",2,3,5.19
"G+",2,4,4.38
"G+",2,5,3.42
"G+",2,6,2.99
"G+",3,1,5.59
"G+",3,2,5.26
"G+",3,3,4.61
"G+",3,4,3.87
"G+",3,5,3.4
"G+",3,6,3.8
"H+",1,1,6.01
"H+",1,2,5.73
"H+",1,3,5.55
"H+",1,4,5.12
"H+",1,5,4.61
"H+",1,6,4.76
"H+",2,1,5.86
"H+",2,2,5.91
