species_code,label_code,treatment,rep,baggie,pre_weight,removal_date,weeks,days
A,A,inundated,1,1,6.35,27/05/16,2,14
A,A,inundated,1,2,6.19,10/06/16,4,28
A,A,inundated,1,3,6.43,24/06/16,6,42
A,A,inundated,1,4,6.33,5/08/16,12,84
A,A,inundated,1,5,6.08,28/10/16,24,168
A,A,inundated,1,6,6.55,20/01/17,36,252
A,A,inundated,2,1,6.36,27/05/16,2,14
A,A,inundated,2,2,6.09,10/06/16,4,28
A,A,inundated,2,3,6.28,24/06/16,6,42
A,A,inundated,2,4,6.21,5/08/16,12,84
A,A,inundated,2,5,6.08,28/10/16,24,168
A,A,inundated,2,6,6.12,20/01/17,36,252
A,A,inundated,3,1,6.11,27/05/16,2,14
A,A,inundated,3,2,6.31,10/06/16,4,28
A,A,inundated,3,3,6.42,24/06/16,6,42
A,A,inundated,3,4,6.16,5/08/16,12,84
A,A,inundated,3,5,6.16,28/10/16,24,168
A,A,inundated,3,6,6.13,20/01/17,36,252
A,A+,variable,1,1,6.33,27/05/16,2,14
A,A+,variable,1,2,6.63,10/06/16,4,28
A,A+,variable,1,3,6.62,24/06/16,6,42
A,A+,variable,1,4,6.5,5/08/16,12,84
A,A+,variable,1,5,6.29,28/10/16,24,168
A,A+,variable,1,6,6.38,20/01/17,36,252
A,A+,variable,2,1,6.3,27/05/16,2,14
A,A+,variable,2,2,6.21,10/06/16,4,28
A,A+,variable,2,3,6.14,24/06/16,6,42
A,A+,variable,2,4,6.21,5/08/16,12,84
A,A+,variable,2,5,6.41,28/10/16,24,168
A,A+,variable,2,6,6.16,20/01/17,36,252
A,A+,variable,3,1,6.6,27/05/16,2,14
A,A+,variable,3,2,6.59,10/06/16,4,28
A,A+,variable,3,3,6.52,24/06/16,6,42
A,A+,variable,3,4,6.64,5/08/16,12,84
A,A+,variable,3,5,6.66,28/10/16,24,168
A,A+,variable,3,6,6.52,20/01/17,36,252
AA,AA,inundated,1,1,6.28,27/05/16,2,14
AA,AA,inundated,1,2,6.33,10/06/16,4,28
AA,AA,inundated,1,3,6.35,24/06/16,6,42
AA,AA,inundated,1,4,6.07,5/08/16,12,84
AA,AA,inundated,1,5,6.19,28/10/16,24,168
AA,AA,inundated,1,6,6.24,20/01/17,36,252
AA,AA,inundated,2,1,6.41,27/05/16,2,14
AA,AA,inundated,2,2,6.22,10/06/16,4,28
AA,AA,inundated,2,3,6.22,24/06/16,6,42
AA,AA,inundated,2,4,6.24,5/08/16,12,84
AA,AA,inundated,2,5,6.42,28/10/16,24,168
AA,AA,inundated,2,6,6.18,20/01/17,36,252
AA,AA,inundated,3,1,6.25,27/05/16,2,14
AA,AA,inundated,3,2,6.36,10/06/16,4,28
AA,AA,inundated,3,3,6.36,24/06/16,6,42
AA,AA,inundated,3,4,6.29,5/08/16,12,84
AA,AA,inundated,3,5,6.28,28/10/16,24,168
AA,AA,inundated,3,6,6.55,20/01/17,36,252
AA,AA+,variable,1,1,6.68,27/05/16,2,14
AA,AA+,variable,1,2,6.53,10/06/16,4,28
AA,AA+,variable,1,3,6.56,24/06/16,6,42
AA,AA+,variable,1,4,6.61,5/08/16,12,84
AA,AA+,variable,1,5,6.66,28/10/16,24,168
AA,AA+,variable,1,6,6.47,20/01/17,36,252
AA,AA+,variable,2,1,6.46,27/05/16,2,14
AA,AA+,variable,2,2,6.62,10/06/16,4,28
AA,AA+,variable,2,3,6.48,24/06/16,6,42
AA,AA+,variable,2,4,6.51,5/08/16,12,84
AA,AA+,variable,2,5,6.55,28/10/16,24,168
AA,AA+,variable,2,6,6.44,20/01/17,36,252
AA,AA+,variable,3,1,6.56,27/05/16,2,14
AA,AA+,variable,3,2,6.61,10/06/16,4,28
AA,AA+,variable,3,3,6.63,24/06/16,6,42
AA,AA+,variable,3,4,6.67,5/08/16,12,84
AA,AA+,variable,3,5,6.53,28/10/16,24,168
AA,AA+,variable,3,6,6.73,20/01/17,36,252
B,B,inundated,1,1,6.36,27/05/16,2,14
B,B,inundated,1,2,6.14,10/06/16,4,28
B,B,inundated,1,3,6.45,24/06/16,6,42
